time_slot,avg_kwh_usage,days_sampled
00:00,0.0588,5
00:05,0.0547,5
00:10,0.0674,5
00:15,0.0617,5
00:20,0.068,5
00:25,0.0591,5
00:30,0.0643,5
00:35,0.0631,5
00:40,0.0631,5
00:45,0.0629,5
00:50,0.0637,5
00:55,0.0599,5
01:00,0.0693,5
01:05,0.0651,5
01:10,0.0623,5
01:15,0.0609,5
01:20,0.0623,5
01:25,0.0617,5
01:30,0.0676,5
01:35,0.0613,5
01:40,0.0614,5
01:45,0.0572,5
01:50,0.0574,5
01:55,0.063,5
02:00,0.0599,5
02:05,0.06,5
02:10,0.0623,5
02:15,0.0611,5
02:20,0.0577,5
02:25,0.0577,5
02:30,0.0615,5
02:35,0.0572,5
02:40,0.0646,5
02:45,0.0581,5
02:50,0.0571,5
02:55,0.0623,5
03:00,0.0615,5
03:05,0.0608,5
03:10,0.0633,5
03:15,0.0622,5
03:20,0.0552,5
03:25,0.0528,5
03:30,0.0577,5
03:35,0.0596,5
03:40,0.0596,5
03:45,0.0618,5
03:50,0.0633,5
03:55,0.0645,5
04:00,0.0604,5
04:05,0.0549,5
04:10,0.0567,5
04:15,0.0515,5
04:20,0.0548,5
04:25,0.0566,5
04:30,0.0598,5
04:35,0.0637,5
04:40,0.0669,5
04:45,0.0635,5
04:50,0.0558,5
04:55,0.0568,5
05:00,0.057,5
05:05,0.0589,5
05:10,0.0594,5
05:15,0.0533,5
05:20,0.0545,5
05:25,0.0611,5
05:30,0.0645,5
05:35,0.0547,5
05:40,0.061,5
05:45,0.0586,5
05:50,0.0626,5
05:55,0.0576,5
06:00,0.0594,5
06:05,0.0554,5
06:10,0.0629,5
06:15,0.0602,5
06:20,0.0586,5
06:25,0.0572,5
06:30,0.0528,5
06:35,0.0586,5
06:40,0.0599,5
06:45,0.0599,5
06:50,0.0615,5
06:55,0.0548,5
07:00,0.0585,5
07:05,0.0573,5
07:10,0.0558,5
07:15,0.057,5
07:20,0.0567,5
07:25,0.0625,5
07:30,0.0652,5
07:35,0.0694,5
07:40,0.0638,5
07:45,0.0596,5
07:50,0.0567,5
07:55,0.0634,5
08:00,0.0676,5
08:05,0.0746,5
08:10,0.0703,5
08:15,0.0703,5
08:20,0.0566,5
08:25,0.0933,5
08:30,0.1341,5
08:35,0.1479,5
08:40,0.1462,5
08:45,0.1403,5
08:50,0.1542,5
08:55,0.1296,5
09:00,0.1544,5
09:05,0.1702,5
09:10,0.185,5
09:15,0.2034,5
09:20,0.1657,5
09:25,0.168,5
09:30,0.1577,5
09:35,0.1695,5
09:40,0.1522,5
09:45,0.1286,5
09:50,0.1903,5
09:55,0.1428,5
10:00,0.1552,5
10:05,0.177,5
10:10,0.2187,5
10:15,0.229,5
10:20,0.2162,5
10:25,0.2661,5
10:30,0.2495,5
10:35,0.2625,5
10:40,0.2537,5
10:45,0.2369,5
10:50,0.2523,5
10:55,0.2785,5
11:00,0.2769,5
11:05,0.2629,5
11:10,0.2252,5
11:15,0.2171,5
11:20,0.1745,5
11:25,0.2391,5
11:30,0.2367,5
11:35,0.19,5
11:40,0.188,5
11:45,0.226,5
11:50,0.2334,5
11:55,0.2369,5
12:00,0.2243,5
12:05,0.2779,5
12:10,0.2312,5
12:15,0.1985,5
12:20,0.2372,5
12:25,0.2137,5
12:30,0.1949,5
12:35,0.2043,5
12:40,0.1885,5
12:45,0.186,5
12:50,0.1786,5
12:55,0.1985,5
13:00,0.1841,5
13:05,0.1776,5
13:10,0.1746,5
13:15,0.1872,5
13:20,0.1853,5
13:25,0.1904,5
13:30,0.3116,5
13:35,0.2847,5
13:40,0.3256,5
13:45,0.3403,5
13:50,0.3175,5
13:55,0.2625,5
14:00,0.3463,5
14:05,0.3303,5
14:10,0.3474,5
14:15,0.3051,5
14:20,0.3119,5
14:25,0.382,5
14:30,0.397,5
14:35,0.3482,5
14:40,0.3615,5
14:45,0.3466,5
14:50,0.3672,5
14:55,0.34,5
15:00,0.3505,5
15:05,0.3186,5
15:10,0.3004,5
15:15,0.322,5
15:20,0.3495,5
15:25,0.2528,5
15:30,0.3577,5
15:35,0.3399,5
15:40,0.3015,5
15:45,0.319,5
15:50,0.3248,5
15:55,0.3411,5
16:00,0.3338,5
16:05,0.3117,5
16:10,0.3506,5
16:15,0.3734,5
16:20,0.3416,5
16:25,0.3541,5
16:30,0.3649,5
16:35,0.2966,5
16:40,0.3693,5
16:45,0.3508,5
16:50,0.3333,5
16:55,0.3309,5
17:00,0.3099,5
17:05,0.3024,5
17:10,0.2911,5
17:15,0.3092,5
17:20,0.3135,5
17:25,0.301,5
17:30,0.217,5
17:35,0.1755,5
17:40,0.1761,5
17:45,0.1912,5
17:50,0.2067,5
17:55,0.1724,5
18:00,0.1935,5
18:05,0.1999,5
18:10,0.1959,5
18:15,0.2042,5
18:20,0.1821,5
18:25,0.2563,5
18:30,0.2511,5
18:35,0.2468,5
18:40,0.2492,5
18:45,0.2611,5
18:50,0.2552,5
18:55,0.27,5
19:00,0.2867,5
19:05,0.2808,5
19:10,0.2724,5
19:15,0.2483,5
19:20,0.1776,5
19:25,0.1708,5
19:30,0.1617,5
19:35,0.2336,5
19:40,0.1844,5
19:45,0.1808,5
19:50,0.1521,5
19:55,0.1794,5
20:00,0.1799,5
20:05,0.1485,5
20:10,0.2279,5
20:15,0.1344,5
20:20,0.1241,5
20:25,0.1295,5
20:30,0.1051,5
20:35,0.0866,5
20:40,0.1363,5
20:45,0.1011,5
20:50,0.1008,5
20:55,0.1153,5
21:00,0.1243,5
21:05,0.1239,5
21:10,0.1209,5
21:15,0.1024,5
21:20,0.1231,5
21:25,0.086,5
21:30,0.1291,5
21:35,0.111,5
21:40,0.1033,5
21:45,0.1016,5
21:50,0.1095,5
21:55,0.1201,5
22:00,0.0851,5
22:05,0.0933,5
22:10,0.0917,4
22:15,0.0954,4
22:20,0.1066,5
22:25,0.0887,5
22:30,0.0852,5
22:35,0.0782,5
22:40,0.0679,5
22:45,0.0676,5
22:50,0.0655,5
22:55,0.0751,5
23:00,0.061,5
23:05,0.082,5
23:10,0.0665,5
23:15,0.0624,5
23:20,0.0582,5
23:25,0.0574,5
23:30,0.0669,5
23:35,0.0624,5
23:40,0.0585,5
23:45,0.07,5
23:50,0.0588,5
23:55,0.0588,5
