========================================
 FSM Independent Validation Framework
========================================\n
Time   | Price  | Load  | PV    | FSM State       | Limit(kW)  | SoC  
----------------------------------------------------------------------
00:00  | 11.0   | 0.06  | 0.00  | IDLE            | 0.0        |  20.0%
00:05  | 11.0   | 0.06  | 0.00  | IDLE            | 0.0        |  20.0%
00:10  | 11.0   | 0.07  | 0.00  | IDLE            | 0.0        |  20.0%
00:15  | 11.0   | 0.06  | 0.00  | IDLE            | 0.0        |  20.0%
00:20  | 11.0   | 0.07  | 0.00  | IDLE            | 0.0        |  20.0%
00:25  | 11.0   | 0.06  | 0.00  | IDLE            | 0.0        |  20.0%
00:30  | 11.0   | 0.06  | 0.00  | IDLE            | 0.0        |  20.0%
00:35  | 11.0   | 0.06  | 0.00  | IDLE            | 0.0        |  20.0%
00:40  | 11.0   | 0.06  | 0.00  | IDLE            | 0.0        |  20.0%
00:45  | 11.0   | 0.06  | 0.00  | IDLE            | 0.0        |  20.0%
00:50  | 11.0   | 0.06  | 0.00  | IDLE            | 0.0        |  20.0%
00:55  | 11.0   | 0.06  | 0.00  | IDLE            | 0.0        |  20.0%
01:00  | 11.0   | 0.07  | 0.00  | IDLE            | 0.0        |  20.0%
01:05  | 11.0   | 0.07  | 0.00  | IDLE            | 0.0        |  20.0%
01:10  | 11.0   | 0.06  | 0.00  | IDLE            | 0.0        |  20.0%
01:15  | 11.0   | 0.06  | 0.00  | IDLE            | 0.0        |  20.0%
01:20  | 11.0   | 0.06  | 0.00  | IDLE            | 0.0        |  20.0%
01:25  | 11.0   | 0.06  | 0.00  | IDLE            | 0.0        |  20.0%
01:30  | 11.0   | 0.07  | 0.00  | IDLE            | 0.0        |  20.0%
01:35  | 11.0   | 0.06  | 0.00  | IDLE            | 0.0        |  20.0%
01:40  | 11.0   | 0.06  | 0.00  | IDLE            | 0.0        |  20.0%
01:45  | 11.0   | 0.06  | 0.00  | IDLE            | 0.0        |  20.0%
01:50  | 11.0   | 0.06  | 0.00  | IDLE            | 0.0        |  20.0%
01:55  | 11.0   | 0.06  | 0.00  | IDLE            | 0.0        |  20.0%
02:00  | 11.0   | 0.06  | 0.00  | IDLE            | 0.0        |  20.0%
02:05  | 11.0   | 0.06  | 0.00  | IDLE            | 0.0        |  20.0%
02:10  | 11.0   | 0.06  | 0.00  | IDLE            | 0.0        |  20.0%
02:15  | 11.0   | 0.06  | 0.00  | IDLE            | 0.0        |  20.0%
02:20  | 11.0   | 0.06  | 0.00  | IDLE            | 0.0        |  20.0%
02:25  | 11.0   | 0.06  | 0.00  | IDLE            | 0.0        |  20.0%
02:30  | 11.0   | 0.06  | 0.00  | IDLE            | 0.0        |  20.0%
02:35  | 11.0   | 0.06  | 0.00  | IDLE            | 0.0        |  20.0%
02:40  | 11.0   | 0.07  | 0.00  | IDLE            | 0.0        |  20.0%
02:45  | 11.0   | 0.06  | 0.00  | IDLE            | 0.0        |  20.0%
02:50  | 11.0   | 0.06  | 0.00  | IDLE            | 0.0        |  20.0%
02:55  | 11.0   | 0.06  | 0.00  | IDLE            | 0.0        |  20.0%
03:00  | 11.0   | 0.06  | 0.00  | IDLE            | 0.0        |  20.0%
03:05  | 11.0   | 0.06  | 0.00  | IDLE            | 0.0        |  20.0%
03:10  | 11.0   | 0.06  | 0.00  | IDLE            | 0.0        |  20.0%
03:15  | 11.0   | 0.06  | 0.00  | IDLE            | 0.0        |  20.0%
03:20  | 11.0   | 0.06  | 0.00  | IDLE            | 0.0        |  20.0%
03:25  | 11.0   | 0.05  | 0.00  | IDLE            | 0.0        |  20.0%
03:30  | 11.0   | 0.06  | 0.00  | IDLE            | 0.0        |  20.0%
03:35  | 11.0   | 0.06  | 0.00  | IDLE            | 0.0        |  20.0%
03:40  | 11.0   | 0.06  | 0.00  | IDLE            | 0.0        |  20.0%
03:45  | 11.0   | 0.06  | 0.00  | IDLE            | 0.0        |  20.0%
03:50  | 11.0   | 0.06  | 0.00  | IDLE            | 0.0        |  20.0%
03:55  | 11.0   | 0.06  | 0.00  | IDLE            | 0.0        |  20.0%
04:00  | 11.0   | 0.06  | 0.00  | IDLE            | 0.0        |  20.0%
